iso3,name,region,income_group,overall_centrality,nn_centrality,n_centrality,ed_centrality,ing_centrality,n_partners,n_agreements,avg_enforceable,max_enforceable,overall_rank,nn_rank,n_rank,ed_rank,ing_rank
CAF,CAF,SSA,Developing,0.012853081903679333,0.007472323735147432,0.12412725988822414,0.0003135318538197187,0.05717377869718582,50,2,109.5,164,152,121,12,160,103
DJI,DJI,MENA,Developing,0.012853081903679333,0.006076663942290124,0.09077428925113938,0.0003135318538197187,0.05717377869718581,50,3,160.0,164,152,139,49,160,104
SSD,SSD,SSA,Developing,0.012853081903679332,0.0,0.0,0.0003135318538197187,0.05717377869718578,50,1,164.0,164,156,205,190,160,106
STP,STP,SSA,Developing,0.012853081903679332,0.006924005279835138,0.1136176611392029,0.0003135318538197187,0.057173778697185824,50,1,164.0,164,156,124,20,160,99
MRT,MRT,SSA,Developing,0.012853081903679326,0.006275966439640429,0.06451316284350031,0.0003135318538197187,0.05717377869718584,50,1,164.0,164,158,134,91,160,97
IND,India,SAS,Developing,0.01200805466770138,0.002087440385729611,0.025756931237400502,0.00800675501788662,0.011749332070626043,56,21,91.42857142857143,252,159,172,120,128,145
AND,AND,ECA,Developed,0.009675654440999323,0.010353495138485132,0.007776790284980001,0.01019823636655602,0.0,28,1,39.0,39,160,116,141,126,198
SYR,SYR,MENA,Developing,0.008459295718293212,0.008976927129103491,0.006513008491185673,0.008371097577411307,0.01108848170520273,44,3,53.0,117,161,117,146,127,146
XKX,XKX,ECA,Developing,0.008182018301525195,0.0,0.0,0.004476139021706061,0.013034639035206132,10,3,67.66666666666667,163,162,205,190,138,139
SMR,SMR,ECA,Developed,0.007442811108461016,0.008355660190570598,0.0070260303891252355,0.007844797205043092,0.0,28,1,30.0,30,163,120,145,129,198
KGZ,KGZ,ECA,Developing,0.006327550275235708,0.00637261274795166,0.007058063912630784,6.897376687605004e-05,0.012000844887399853,14,12,94.41666666666667,258,164,131,144,198,142
BLR,Belarus,ECA,Developing,0.0063275502752356974,0.002876932864276052,0.012516304909686415,6.897376687605004e-05,0.012000844887399853,14,11,107.0909090909091,258,165,167,130,198,142
KAZ,Kazakhstan,ECA,Developing,0.0063275502752356836,0.006334991193610867,0.00925979954211029,6.897376687605004e-05,0.012000844887399843,14,14,92.35714285714286,258,166,133,134,198,144
TWN,TWN,EAP,Developed,0.006220468335458845,0.00395169277349108,0.004489811108713785,0.006425652321953405,0.002606508987882943,4,4,237.5,294,167,154,153,130,178
OMN,Oman,MENA,Developing,0.0053749223235371535,0.0037084481806286193,0.0028688067208940005,0.005436380487472885,0.004580709364177512,21,5,125.6,298,168,157,166,131,167
BHR,Bahrain,MENA,Developing,0.005273858024412129,0.0036519827500183007,0.003075642894381566,0.005332362375619269,0.004438619679936562,21,5,118.4,262,169,158,161,132,169
